Predicted Grade,Actual Grade
C,B
C,C
C,C
C,C
C,A+
C,A+
C,A+
C,C
C,C
C,C
C,C
C,C
C,B+
C,C
C,C
C,B+
C,C
C,A
C,B
C,B
C,A
C,C
C,C
C,C
C,A
C,A
C,B
C,C
C,B
C,A
C,A
C,A
C,B
C,A+
C,A
C,A
C,A
C,B
C,B
C,A
C,A
C,B+
C,A
C,B+
C,C
C,C
C,B
C,A
C,A
C,C
C,C
C,B+
C,B
C,B
C,C
C,A
C,A
C,C
C,B+
C,B+
C,B+
C,C
C,A
C,B+
C,C
C,C
C,C
C,C
C,A
C,B+
C,B
C,C
C,C
C,C
C,A+
C,A+
C,A+
C,C
C,C
C,C
C,C
C,C
C,B+
C,C
C,C
C,B+
C,C
C,A
C,B
C,B
C,A
C,C
C,C
C,C
C,A
C,A
C,B
C,C
C,B
C,A
C,A
C,A
C,B
C,A+
C,A
C,A
C,A
C,B
C,B
C,A
C,A
C,B+
C,A
C,B+
C,C
C,C
C,B
C,A
C,A
C,C
C,C
C,B+
C,B
C,B
C,C
C,A
C,A
C,C
C,B+
C,B+
C,B+
C,C
C,A
C,B+
C,C
C,C
C,C
C,C
C,A
C,B+
C,B
C,C
C,C
C,C
C,A+
C,A+
C,A+
C,C
C,C
C,C
C,C
C,C
C,B+
C,C
C,C
C,B+
C,C
C,A
C,B
C,B
C,A
C,C
C,C
C,C
C,A
C,A
C,B
C,C
C,B
C,A
C,A
C,A
C,B
C,A+
C,A
C,A
C,A
C,B
C,B
C,A
C,A
C,B+
C,A
C,B+
C,C
C,C
C,B
C,A
C,A
C,C
C,C
C,B+
C,B
C,B
C,C
C,A
C,A
C,C
C,B+
C,B+
C,B+
C,C
C,A
C,B+
C,C
C,C
C,C
C,C
C,A
C,B+
C,B
C,C
C,C
C,C
C,A+
C,A+
C,A+
C,C
C,C
C,C
C,C
C,C
C,B+
C,C
C,C
C,B+
C,C
C,A
C,B
C,B
C,A
C,C
C,C
C,C
C,A
C,A
C,B
C,C
C,B
C,A
C,A
C,A
C,B
C,A+
C,A
C,A
C,A
C,B
C,B
C,A
C,A
C,B+
C,A
C,B+
C,C
C,C
C,B
C,A
C,A
C,C
C,C
C,B+
C,B
C,B
C,C
C,A
C,A
C,C
C,B+
C,B+
C,B+
C,C
C,A
C,B+
C,C
C,C
C,C
C,C
C,A
C,B+
C,B
C,C
C,C
C,C
C,A+
C,A+
C,A+
C,C
C,C
C,C
C,C
C,C
C,B+
C,C
C,C
C,B+
C,C
C,A
C,B
C,B
C,A
C,C
C,C
C,C
C,A
C,A
C,B
C,C
C,B
C,A
C,A
C,A
C,B
C,A+
C,A
C,A
C,A
C,B
C,B
C,A
C,A
C,B+
C,A
C,B+
C,C
C,C
C,B
C,A
C,A
C,C
C,C
C,B+
C,B
C,B
C,C
C,A
C,A
C,C
C,B+
C,B+
C,B+
C,C
C,A
C,B+
C,C
C,C
C,C
C,C
C,A
C,B+
C,B
C,C
C,C
C,C
C,A+
C,A+
C,A+
C,C
C,C
C,C
C,C
C,C
C,B+
C,C
C,C
C,B+
C,C
C,A
C,B
C,B
C,A
C,C
C,C
C,C
C,A
C,A
C,B
C,C
C,B
C,A
C,A
C,A
C,B
C,A+
C,A
C,A
C,A
C,B
C,B
C,A
C,A
C,B+
C,A
C,B+
C,C
C,C
C,B
C,A
C,A
C,C
C,C
C,B+
C,B
C,B
C,C
C,A
C,A
C,C
C,B+
C,B+
C,B+
C,C
C,A
C,B+
C,C
C,C
C,C
C,C
C,A
C,B+
C,B
C,C
C,C
C,C
C,A+
C,A+
C,A+
C,C
C,C
C,C
C,C
C,C
C,B+
C,C
C,C
C,B+
C,C
C,A
C,B
C,B
C,A
C,C
C,C
C,C
C,A
C,A
C,B
C,C
C,B
C,A
C,A
C,A
C,B
C,A+
C,A
C,A
C,A
C,B
C,B
C,A
C,A
C,B+
C,A
C,B+
C,C
C,C
C,B
C,A
C,A
C,C
C,C
C,B+
C,B
C,B
C,C
C,A
C,A
C,C
C,B+
C,B+
C,B+
C,C
C,A
C,B+
C,C
C,C
C,C
C,C
C,A
C,B+
C,B
C,C
C,C
C,C
C,A+
C,A+
C,A+
C,C
C,C
C,C
C,C
C,C
C,B+
C,C
C,C
C,B+
C,C
C,A
C,B
C,B
C,A
C,C
C,C
C,C
C,A
C,A
C,B
C,C
C,B
C,A
C,A
C,A
C,B
C,A+
C,A
C,A
C,A
C,B
C,B
C,A
C,A
C,B+
C,A
C,B+
C,C
C,C
C,B
C,A
C,A
C,C
C,C
C,B+
C,B
C,B
C,C
C,A
C,A
C,C
C,B+
C,B+
C,B+
C,C
C,A
C,B+
C,C
C,C
C,C
C,C
C,A
C,B+
C,B
C,C
C,C
C,C
C,A+
C,A+
C,A+
C,C
C,C
C,C
C,C
C,C
C,B+
C,C
C,C
C,B+
C,C
C,A
C,B
C,B
C,A
C,C
C,C
C,C
C,A
C,A
C,B
C,C
C,B
C,A
C,A
C,A
C,B
C,A+
C,A
C,A
C,A
C,B
C,B
C,A
C,A
C,B+
C,A
C,B+
C,C
C,C
C,B
C,A
C,A
C,C
C,C
C,B+
C,B
C,B
C,C
C,A
C,A
C,C
C,B+
C,B+
C,B+
C,C
C,A
C,B+
C,C
C,C
C,C
C,C
C,A
C,B+
